iter	Passed	Remaining
617	5427	3354
618	5435	3345
619	5444	3336
620	5451	3327
621	5460	3318
622	5468	3309
623	5476	3299
624	5483	3289
625	5490	3280
626	5498	3271
627	5506	3262
628	5514	3252
629	5522	3243
630	5530	3234
631	5538	3225
632	5546	3215
633	5555	3207
634	5563	3198
635	5572	3189
636	5580	3180
637	5588	3170
638	5595	3161
639	5603	3151
640	5611	3142
641	5618	3132
642	5627	3124
643	5635	3115
644	5643	3105
645	5650	3096
646	5658	3087
647	5665	3077
648	5673	3068
649	5681	3059
650	5689	3050
651	5696	3040
652	5704	3031
653	5712	3022
654	5721	3013
655	5728	3004
656	5736	2994
657	5744	2985
658	5752	2976
659	5760	2967
660	5768	2958
661	5776	2949
662	5784	2940
663	5793	2931
664	5801	2922
665	5810	2913
666	5820	2905
667	5828	2896
668	5835	2887
669	5843	2878
670	5852	2869
671	5860	2860
672	5868	2851
673	5876	2842
674	5884	2833
675	5891	2823
676	5899	2814
677	5907	2805
678	5914	2796
679	5922	2787
680	5930	2778
681	5938	2768
682	5946	2759
683	5954	2750
684	5962	2741
685	5970	2732
686	5977	2723
687	5985	2714
688	5992	2705
689	6000	2696
690	6008	2686
691	6015	2677
692	6023	2668
693	6030	2659
694	6039	2650
695	6047	2641
696	6055	2632
697	6064	2623
698	6072	2614
699	6079	2605
700	6087	2596
701	6094	2587
702	6102	2578
703	6109	2568
704	6118	2560
705	6127	2551
706	6136	2542
707	6144	2534
708	6152	2525
709	6160	2516
710	6169	2507
711	6178	2498
712	6186	2490
713	6195	2481
714	6202	2472
715	6210	2463
716	6218	2454
717	6226	2445
718	6234	2436
719	6242	2427
720	6249	2418
721	6257	2409
722	6265	2400
723	6272	2391
724	6280	2382
725	6288	2373
726	6296	2364
727	6304	2355
728	6312	2346
729	6319	2337
730	6326	2328
731	6335	2319
732	6343	2310
733	6350	2301
734	6358	2292
735	6366	2283
736	6374	2274
737	6382	2265
738	6389	2256
739	6397	2247
740	6404	2238
741	6412	2229
742	6419	2220
743	6428	2211
744	6435	2202
745	6444	2194
746	6451	2185
747	6459	2176
748	6466	2167
749	6474	2158
750	6482	2149
751	6489	2140
752	6496	2131
753	6504	2122
754	6511	2113
755	6518	2103
756	6527	2095
757	6534	2086
758	6543	2077
759	6550	2068
760	6558	2059
761	6565	2050
762	6574	2042
763	6581	2033
764	6589	2024
765	6597	2015
766	6605	2006
767	6612	1997
768	6620	1988
769	6629	1980
770	6637	1971
771	6646	1962
772	6654	1954
773	6661	1945
774	6668	1936
775	6677	1927
776	6685	1918
777	6692	1909
778	6701	1901
779	6709	1892
780	6717	1883
781	6726	1875
782	6734	1866
783	6741	1857
784	6749	1848
785	6757	1839
786	6765	1830
787	6773	1822
788	6780	1813
789	6788	1804
790	6796	1795
791	6804	1787
792	6812	1778
793	6822	1769
794	6829	1761
795	6838	1752
796	6846	1743
797	6855	1735
798	6862	1726
799	6871	1717
800	6878	1708
801	6887	1700
802	6896	1691
803	6905	1683
804	6914	1674
805	6923	1666
806	6932	1657
807	6941	1649
808	6950	1640
809	6957	1632
810	6966	1623
811	6974	1614
812	6981	1605
813	6989	1597
814	6996	1588
815	7004	1579
816	7011	1570
817	7021	1562
818	7029	1553
819	7037	1544
820	7045	1536
821	7052	1527
822	7059	1518
823	7068	1509
824	7075	1500
825	7083	1492
826	7090	1483
827	7097	1474
828	7105	1465
829	7114	1457
830	7122	1448
831	7131	1439
832	7139	1431
833	7148	1422
834	7157	1414
835	7166	1405
836	7174	1397
837	7183	1388
838	7190	1379
839	7199	1371
840	7206	1362
841	7215	1354
842	7223	1345
843	7231	1336
844	7238	1327
845	7246	1319
846	7253	1310
847	7262	1301
848	7269	1292
849	7277	1284
850	7285	1275
851	7293	1266
852	7300	1258
853	7309	1249
854	7317	1240
855	7324	1232
856	7332	1223
857	7340	1214
858	7348	1206
859	7355	1197
860	7363	1188
861	7370	1179
862	7378	1171
863	7385	1162
864	7392	1153
865	7399	1145
866	7408	1136
867	7415	1127
868	7424	1119
869	7431	1110
870	7438	1101
871	7446	1093
872	7454	1084
873	7463	1075
874	7471	1067
875	7478	1058
876	7486	1049
877	7493	1041
878	7501	1032
879	7511	1024
880	7519	1015
881	7527	1007
882	7535	998
883	7544	989
884	7552	981
885	7560	972
886	7569	964
887	7577	955
888	7584	947
889	7592	938
890	7600	929
891	7608	921
892	7615	912
893	7624	904
894	7632	895
895	7640	886
896	7647	878
897	7655	869
898	7662	860
899	7670	852
900	7677	843
901	7685	835
902	7692	826
903	7700	817
904	7708	809
905	7715	800
906	7724	792
907	7730	783
908	7738	774
909	7745	766
910	7753	757
911	7760	748
912	7768	740
913	7776	731
914	7784	723
915	7791	714
916	7799	705
917	7807	697
918	7814	688
919	7822	680
920	7829	671
921	7837	663
922	7844	654
923	7853	645
924	7860	637
925	7868	628
926	7875	620
927	7883	611
928	7891	603
929	7899	594
930	7907	586
931	7914	577
932	7922	568
933	7929	560
934	7937	551
935	7945	543
936	7953	534
937	7960	526
938	7968	517
939	7975	509
940	7984	500
941	7991	492
942	8000	483
943	8009	475
944	8019	466
945	8027	458
946	8035	449
947	8042	441
948	8051	432
949	8059	424
950	8067	415
951	8075	407
952	8084	398
953	8092	390
954	8100	381
955	8108	373
956	8118	364
957	8125	356
958	8133	347
959	8141	339
960	8148	330
961	8155	322
962	8164	313
963	8171	305
964	8179	296
965	8187	288
966	8195	279
967	8203	271
968	8211	262
969	8218	254
970	8227	245
971	8234	237
972	8241	228
973	8248	220
974	8256	211
975	8264	203
976	8270	194
977	8278	186
978	8286	177
979	8294	169
980	8301	160
981	8310	152
982	8317	143
983	8325	135
984	8333	126
985	8341	118
986	8349	109
987	8357	101
988	8365	93
989	8373	84
990	8381	76
991	8389	67
992	8397	59
993	8405	50
994	8414	42
995	8423	33
996	8430	25
997	8440	16
998	8447	8
999	8455	0
